CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
12346.0,326,2,0.0,1,2,1,4
12347.0,2,7,4310.0,5,4,5,14
12348.0,75,4,1797.24,2,3,4,9
12349.0,19,1,1757.55,4,1,4,9
12350.0,310,1,334.4,1,1,2,4
12352.0,36,11,1545.4099999999999,3,5,4,12
12353.0,204,1,89.0,1,1,1,3
12354.0,232,1,1079.4,1,1,4,6
12355.0,214,1,459.4,1,1,2,4
12356.0,23,3,2811.43,4,3,5,12
12357.0,33,1,6207.67,3,1,5,9
12358.0,2,2,1168.06,5,2,4,11
12359.0,8,6,6245.53,5,4,5,14
12360.0,52,3,2662.06,3,3,5,11
12361.0,287,1,189.9,1,1,1,3
12362.0,3,13,5154.58,5,5,5,15
12363.0,110,2,552.0,2,2,3,7
12364.0,8,4,1313.1,5,3,4,12
12365.0,291,3,320.69,1,3,2,6
12367.0,4,1,168.9,5,1,1,7
12370.0,51,4,3545.69,3,3,5,11
12371.0,45,2,1887.96,3,2,4,9
12372.0,72,3,1298.04,2,3,4,9
12373.0,311,1,364.6,1,1,2,4
12374.0,25,1,742.93,4,1,3,8
12375.0,3,3,455.42,5,3,2,10
12377.0,315,2,1628.1200000000001,1,2,4,7
12378.0,130,1,4008.62,2,1,5,8
12379.0,82,3,850.29,2,3,3,8
12380.0,22,5,2720.56,4,4,5,13
12381.0,5,6,1803.96,5,4,4,13
12383.0,185,6,1839.31,1,4,4,9
12384.0,29,3,566.16,4,3,3,10
12386.0,338,2,401.9,1,2,2,5
12388.0,16,6,2780.6600000000003,4,4,5,13
12390.0,80,1,549.84,2,1,3,6
12391.0,22,1,460.89,4,1,2,7
12393.0,72,4,1582.6000000000001,2,3,4,9
12394.0,64,2,1272.48,3,2,4,9
12395.0,16,15,2998.28,4,5,5,14
12397.0,36,2,2409.9,3,2,5,10
12398.0,46,1,1635.66,3,1,4,8
12399.0,119,4,1108.65,2,4,4,10
12401.0,303,1,84.3,1,1,1,3
12402.0,323,1,225.6,1,1,1,3
12403.0,50,2,409.7,3,2,2,7
12405.0,149,1,1710.39,2,1,4,7
12406.0,22,3,3280.75,4,3,5,12
12407.0,50,5,1708.12,3,4,4,11
12408.0,33,9,2842.57,3,5,5,13
12409.0,79,7,11056.93,2,4,5,11
12410.0,301,3,681.08,1,3,3,7
12412.0,75,3,1226.88,2,3,4,9
12413.0,67,5,694.15,3,4,3,10
12414.0,217,3,562.41,1,3,3,7
12415.0,24,26,123725.45,4,5,5,14
12417.0,3,12,3578.8,5,5,5,15
12418.0,113,1,668.58,2,1,3,6
12420.0,64,1,600.39,3,1,3,7
12421.0,16,5,806.27,4,4,3,11
12422.0,96,3,803.5600000000001,2,3,3,8
12423.0,1,9,1849.1100000000001,5,5,4,14
12424.0,163,2,1760.96,2,2,4,8
12425.0,78,1,777.2,2,1,3,6
12426.0,195,1,582.73,1,1,3,5
12427.0,12,5,708.37,4,4,3,11
12428.0,26,12,7877.2,4,5,5,14
12429.0,9,4,3750.4,5,4,5,14
12430.0,43,1,256.4,3,1,2,6
